score,id_catalogo,nombre_catalogo,id_carrefour,nombre_carrefour,marca_carrefour
0.892,CAT-0380,Trozos en gelatina gato adulto esterilizado Delikuit con buey,CF-586778,Pienso Esterilizado De Buey Para Gato Adulto Ultima 25 Kg,Ultima
0.892,CAT-3829,Limpiamáquinas lavavajillas líquido,CF-814015,Limpiamaquinas Lavavajillas Power 2En1 Carrefour Expert 250 Ml,Carrefour
0.889,CAT-0002,Bebida láctea Omega 3 Puleva con leche desnatada,CF-615831,Bebida Lactea Omega 3 Carrefour Extra Brik 1 L,Carrefour
0.889,CAT-0024,Vinagre de Jerez reserva,CF-407335,Cerveza Alhambra Reserva 1925 Lata 33 Cl,Alhambra
0.889,CAT-0247,Semillas lino dorado,CF-504014,Ron Dorado Lupe 70 Cl,Lupe
0.889,CAT-0263,Zanahoria en tiras,CF-522036,Zanahoria Rallada Carrefour El Mercado 150 G,Carrefour
0.889,CAT-0540,Bolsas reutilizables,CF-607555,Set 30 Cucharitas Reutilizables Nupik,Nupik
0.889,CAT-0447,Tomate frito estilo casero,CF-775309,Tomate Frito Classic Carrefour Pack 3 Briks De 215 G,Carrefour
0.889,CAT-0660,Crema de manos Oriental Woods,CF-898005,Crema Nivea Men 150 Ml,Nivea-Men
0.889,CAT-0872,Helado caramelo con salsa de caramelo salado y trozos de caramelo,CF-559356,Helado Sabor Nata Con Salsa De Caramelo Salado Y Trocitos De Caramelo Frigo 499 G,Frigo
0.889,CAT-0945,Dentífrico infantil +6 años menta suave,CF-638580,Dentifrico Con Fluor Infantil 0 6 Anos Elmex 50 Ml,Elmex
0.889,CAT-1052,Refresco té verde,CF-744374,Lejia Frescor Verde Neutrex 19 L,Neutrex
0.889,CAT-1067,Refresco cola Zero azúcar Zero cafeína,CF-911700,Coca Cola Zero Azucar Zero Cafeina Pack 12 Latas 33 Cl,Coca-Cola-Zero-Scaf
