id_producto;nombre;precio;categoria_actual;subcategoria_actual;categoria_nueva;subcategoria_nueva
ME-0706;Pan de molde semillas y pipas de calabaza Hacendado;1.65;Panadería y Pastelería;Pan fresco;;
ME-0701;Pan de molde sin gluten blanco Hacendado;2.74;Panadería y Pastelería;Pan fresco;;
ME-0726;Pan de pita Mission;2.0;Panadería y Pastelería;Pan fresco;;
ME-0715;Pan hot dog Hacendado;0.9;Panadería y Pastelería;Pan fresco;;
ME-0563;Pan integral de trigo 100% rebanado;1.5;Panadería y Pastelería;Pan fresco;;
ME-0533;Pan integral trigo 100%;1.5;Panadería y Pastelería;Pan fresco;;
ME-0716;Pan maxi hamburguesa Hacendado;0.85;Panadería y Pastelería;Pan fresco;;
ME-0722;Pan Mini bocados Hacendado;1.2;Panadería y Pastelería;Pan fresco;;
ME-0547;Pan mini semillas;0.33;Panadería y Pastelería;Pan fresco;;
ME-0531;Pan moño;1.45;Panadería y Pastelería;Pan fresco;;
ME-0561;Pan moño rebanado;1.45;Panadería y Pastelería;Pan fresco;;
ME-0780;Pan rallado casero Hacendado;1.0;Panadería y Pastelería;Pan fresco;;
ME-0779;Pan rallado con ajo y perejil Hacendado;1.0;Panadería y Pastelería;Pan fresco;;
ME-0781;Pan rallado de arroz Hacendado;2.0;Panadería y Pastelería;Pan fresco;;
ME-0778;Pan rallado Hacendado;0.85;Panadería y Pastelería;Pan fresco;;
ME-0712;Pan redondo sin gluten Hacendado;1.93;Panadería y Pastelería;Pan fresco;;
ME-0766;Pan tostado 100% espelta integral Hacendado;1.47;Panadería y Pastelería;Pan fresco;;
ME-0769;Pan tostado 100% integral;1.8;Panadería y Pastelería;Pan fresco;;
ME-0773;Pan tostado 100% integral bajo en sal y en azúcares Hacendado;2.17;Panadería y Pastelería;Pan fresco;;
ME-0764;Pan tostado cereales y semillas Hacendado;2.22;Panadería y Pastelería;Pan fresco;;
ME-0763;Pan tostado classic Hacendado;1.7;Panadería y Pastelería;Pan fresco;;
ME-0776;Pan tostado con ajo y perejil Hacendado;1.28;Panadería y Pastelería;Pan fresco;;
ME-0775;Pan tostado con tomate Hacendado;1.28;Panadería y Pastelería;Pan fresco;;
ME-0777;Pan tostado de maíz y pipas Hacendado;1.05;Panadería y Pastelería;Pan fresco;;
ME-0765;Pan tostado pasas Hacendado;1.15;Panadería y Pastelería;Pan fresco;;
ME-0774;Pan tostado vitalité Wasa;2.45;Panadería y Pastelería;Pan fresco;;
ME-0555;Pan Viena;0.4;Panadería y Pastelería;Pan fresco;;
ME-1322;Pañal adulto braguita talla L Deliplus Pants Plus;11.95;Panadería y Pastelería;Pan fresco;;
ME-1321;Pañal adulto braguita talla M Deliplus Pants plus;10.8;Panadería y Pastelería;Pan fresco;;
ME-1325;Pañal adulto talla L Deliplus;14.8;Bebes;Pañales;;
ME-1324;Pañal adulto talla M de 70-130 cm Deliplus;13.55;Bebes;Pañales;;
ME-4030;Pañal bebé braguita talla L de 12-18 kg Deliplus;6.9;Bebes;Pañales;;
ME-4031;Pañal bebé braguita talla XL de 16-28 kg Deliplus;6.9;Bebes;Pañales;;
ME-4032;Pañal junior braguita noche infantil de 17-30 kg Deliplus;10.65;Bebes;Pañales;;
ME-4033;Pañal junior braguita noche infantil de 27-57 kg Deliplus;10.65;Bebes;Pañales;;
