id_dia,nombre_dia,id_catalogo,nombre_catalogo,score
307992,Salsa ranchera Hellmann's 245 ml,2083,Mayonesa Hellmann's,72.7
14107,Salsa de queso Old El Paso 320 g,2143,Salsa de Queso Hacendado,70.0
282359,Sal rosa del himalaya fina Toque 250 g,1687,Sal rosa del Himalaya Hacendado,79.2
104003,Mayonesa Prima 400 ml,2085,Mayonesa Ybarra,75.9
1748,Tomate frito Solís 360 g,2111,Tomate frito Hacendado,80.0
187984,Hojas de laurel Carmencita 8 g,1941,Hoja de laurel Hacendado,70.0
125629,Bechamel Knorr 500 ml,2042,Bechamel Hacendado,72.7
309959,Pasta de tomate doble concentrado Montali 128 g,2839,Tomate doble concentrado Hacendado extra,76.1
284529,Sazonador para burritos suave Old El Paso 40 g,2013,Sazonador para burritos Hacendado,71.9
187990,Canela molida Carmencita 43 g,1993,Canela molida Hacendado,70.3
107990,Perejil Dani 13 g,1940,Perejil Hacendado,73.7
187992,Cayena guindillas Carmencita 16 g,2000,Cayena guindillas Hacendado,75.6
188317,Ajo y perejil Carmencita 55 g,1947,Ajo y Perejil Hacendado,70.3
187899,Pimentón dulce Carmencita 47 g,1968,Pimentón dulce Hacendado,71.8
187993,Colorante Carmencita 65 g,1963,Colorante alimentario Hacendado,78.0
302726,Salsa barbacoa Bull's eye 300 ml,2117,Salsa Barbacoa Hacendado,71.8
188324,Salsa barbacoa Heinz 0.22 ml,2117,Salsa Barbacoa Hacendado,75.7
282303,Sazonador para paella de carne Pote 12.5 g,2012,Sazonador para paella con azafrán Hacendado,72.2
187972,Hierbas provenzales Carmencita 10 g,1942,Hierbas provenzales Hacendado,77.6
183217,Crema de vinagre de módena con frambuesa Aliña tu Dia 220 ml,1670,Crema de vinagre balsámico de Módena Hacendado,71.9
1233,Alubias blancas cocidas Dia Vegecampo 400 g,2557,Alubia cocida blanca Hacendado,70.2
28055,Arroz vaporizado Brillante 1 Kg,2381,Arroz vaporizado Hacendado,76.2
239441,Tortitas de arroz y quinoa Ecocesta bolsa 120 g,2403,Tortitas de legumbres y arroz Hacendado,71.9
280402,Noodles de arroz Tiger Khan 375 g,2520,Noodles de arroz Hacendado,74.4
10284,Cereales copos de arroz y trigo integral con frutos rojos Gran Dia caja 300 g,2261,Cereales copos tostados de trigo integral y arroz Hacendado con chocolate,74.4
68890,Tortitas de arroz integral con chocolate negro Bicentury bolsa 130 g,2402,Tortitas de arroz con chocolate con leche Hacendado,70.1
161621,Tortitas de arroz integral con chocolate blanco Dia Naturmundo bolsa 130 g,2400,Tortitas de arroz con chocolate blanco sabor yogur Hacendado,73.2
515,Fideo cabellín Dia Al Diante 500 g,2489,Fideo cabello de ángel Hacendado,72.0
268896,Garbanzos cocidos pedrosillanos Dia Vegecampo 400 g,2553,Garbanzo cocido Pedrosillano Hacendado,76.7
189343,Lentejas pardinas Luengo 1 Kg,2566,Lenteja pardina Hacendado,76.9
101720,Garbanzos cocidos Luengo 400 g,2552,Garbanzo cocido Hacendado,76.9
194830,Garbanzos pedrosillanos Dia Vegecampo 1 Kg,2555,Garbanzo pedrosillano Hacendado,72.4
1878,Lentejas pardinas Luengo 500 g,2566,Lenteja pardina Hacendado,76.9
189486,Tortelloni de carne Gallo 200 g,2521,Tortellini carne Pagani,75.0
118805,Cous cous Gallo 500 g,2380,Cous cous mediano Hacendado,75.0
119810,Alubias blancas cocidas Luengo 400 g,2557,Alubia cocida blanca Hacendado,80.0
102510,Alubias blancas Luengo 1 Kg,2560,Alubia blanca Hacendado,74.3
53235,Alubias blancas cocidas La Asturiana 400 g,2557,Alubia cocida blanca Hacendado,71.4
38252,Lentejas pardinas La Asturiana 1 Kg,1760,Lentejas a la riojana Hacendado,70.6
