id_producto;nombre;precio;categoria_actual;subcategoria_actual;categoria_nueva;subcategoria_nueva
ME-2070;Eau de parfum hombre Como Tú Extratime Likes;80;Bazar y Varios;Otros bazar;;
ME-2053;Eau de parfum hombre Como Tú Fuerza;70;Bazar y Varios;Otros bazar;;
ME-2075;Eau de parfum hombre Como tú Labuan;80;Bazar y Varios;Otros bazar;;
ME-2068;Eau de parfum hombre Como Tú Rebel;80;Bazar y Varios;Otros bazar;;
ME-2054;Eau de parfum hombre Como Tú Viento;70;Bazar y Varios;Otros bazar;;
ME-2057;Eau de parfum hombre Él;100;Bazar y Varios;Otros bazar;;
ME-2061;Eau de parfum hombre My Soul;95;Bazar y Varios;Otros bazar;;
ME-2065;Eau de parfum hombre My Soul Enchanted;95;Bazar y Varios;Otros bazar;;
ME-2066;Eau de parfum hombre My Soul Glacier;120;Bazar y Varios;Otros bazar;;
ME-2076;Eau de parfum hombre My Soul Quartz;150;Bazar y Varios;Otros bazar;;
ME-2067;Eau de parfum hombre My Soul Soirée;95;Bazar y Varios;Otros bazar;;
ME-2063;Eau de parfum hombre My Soul Supreme;110;Bazar y Varios;Otros bazar;;
ME-2072;Eau de parfum hombre My Soul Vert;95;Bazar y Varios;Otros bazar;;
ME-2004;Eau de parfum mujer Blue Shine;110;Bazar y Varios;Otros bazar;;
ME-2015;Eau de parfum mujer Boem Shine;95;Bazar y Varios;Otros bazar;;
ME-1999;Eau de parfum mujer Como Tú Amor;70;Bazar y Varios;Otros bazar;;
ME-2020;Eau de parfum mujer Como Tú Atracción;80;Bazar y Varios;Otros bazar;;
ME-2026;Eau de parfum mujer Como tú Cerise;80;Bazar y Varios;Otros bazar;;
ME-2019;Eau de parfum mujer Como Tú Enciende;70;Bazar y Varios;Otros bazar;;
ME-2005;Eau de parfum mujer Como Tú Extratime A Day;80;Bazar y Varios;Otros bazar;;
ME-2018;Eau de parfum mujer Como Tú Extratime Likes;80;Bazar y Varios;Otros bazar;;
ME-2017;Eau de parfum mujer Como Tú Gold;80;Bazar y Varios;Otros bazar;;
ME-2038;Eau de parfum mujer Como Tú Sakai;80;Bazar y Varios;Otros bazar;;
ME-2029;Eau de parfum mujer Como Tú Santal;80;Bazar y Varios;Otros bazar;;
ME-2016;Eau de parfum mujer Como Tú Sinfonía;80;Bazar y Varios;Otros bazar;;
ME-2021;Eau de parfum mujer Como Tú Soplo Intense;80;Bazar y Varios;Otros bazar;;
ME-2024;Eau de parfum mujer Como Tú The Rose;80;Bazar y Varios;Otros bazar;;
ME-2008;Eau de parfum mujer Cosmic Shine;95;Bazar y Varios;Otros bazar;;
ME-2010;Eau de parfum mujer Éclant Shine;120;Bazar y Varios;Otros bazar;;
ME-1997;Eau de parfum mujer Elección;90;Bazar y Varios;Otros bazar;;
ME-2022;Eau de parfum mujer Ella;100;Bazar y Varios;Otros bazar;;
ME-2039;Eau de parfum mujer My Soul Celestial Night;110;Bazar y Varios;Otros bazar;;
ME-2037;Eau de parfum mujer My Soul Crystal;110;Bazar y Varios;Otros bazar;;
ME-2009;Eau de parfum mujer My Soul Enchanted;120;Bazar y Varios;Otros bazar;;
ME-2025;Eau de parfum mujer My Soul Rouge;95;Bazar y Varios;Otros bazar;;
ME-2006;Eau de parfum mujer My Soul Supreme;110;Bazar y Varios;Otros bazar;;
ME-1996;Eau de parfum mujer Rose Nude;90;Bazar y Varios;Otros bazar;;
ME-2027;Eau de parfum mujer Shine Special;120;Bazar y Varios;Otros bazar;;
ME-2014;Eau de parfum mujer Soirée My Soul;120;Bazar y Varios;Otros bazar;;
ME-2007;Eau de parfum mujer Verissime Bright;110;Bazar y Varios;Otros bazar;;
ME-2051;Eau de toilette hombre 9.60 Sport water;39;Bazar y Varios;Otros bazar;;
ME-2052;Eau de toilette hombre 9.60 Sport water acción;39;Bazar y Varios;Otros bazar;;
ME-2074;Eau de toilette hombre Capítulo Amaderado;65;Bazar y Varios;Otros bazar;;
ME-2060;Eau de toilette hombre Capítulo Marino;65;Bazar y Varios;Otros bazar;;
ME-2055;Eau de toilette hombre Gesto;55;Bazar y Varios;Otros bazar;;
ME-2056;Eau de toilette hombre Ikiru;80;Bazar y Varios;Otros bazar;;
