id,nombre_comercial,marca
283093,Cereales granola de avena con chocolate negro Kellogg's Special K caja 320 g,Kellogg's
297860,Barritas de galleta con doble chocolate Kit Kat 99 g,Kit Kat
100268,Galletas rellenas de chocolate blanco estrellas Principe caja 225 g,Principe
89785,Preparado para tarta de oreo Royal caja 215 g,Royal
150816,Preparado para tarta de chocolate milka Royal caja 350 g,Royal
158038,Galletas choco wafer chocolate blanco Milka bolsa 180 g,Milka
148422,Tinte castaño chocolate N.º 3.65 Palette caja 1 unidad,Palette
279597,Barritas de cereales con cacahuetes y cacao Corny bolsa 35 g,Corny
245356,"Barritas de cereales con coco, cacao, anacardos y crema de almendra protein Kellogg's Special K caja 112 g",Kellogg's
203121,Batido sustitutivo de chocolate Bicentury caja 5 unidades,Bicentury
288344,Galletas integrales con 5 cereales y chocolate Florbu bolsa 370 g,Florbu
283823,Galletas a cucharadas con cereales y vitaminas Artiach Dinosaurus caja 320 g,Artiach
262294,Barritas proteicas de cacahuete y chocolate Nature Valley caja 160 g,Nature Valley
222148,Barritas de galleta con chocolate negro 70% Kit Kat bolsa 3 x 41.5 g,Kit Kat
150608,Galletas sándwich con chocolate sin azúcares Gullón caja 250 g,Gullón
74283,Galletas chip choco con pepitas de chocolate sin azúcares Gullón bolsa 125 g,Gullón
232052,Barritas de cereales bañadas con chocolate negro sin azúcares Bicentury caja 102 g,Bicentury
160478,Barquillos de chocolate sin azúcares Gullón caja 180 g,Gullón
301189,Galletas chocolateadas Los Simpsons Arluy bolsa 400 g,Arluy
149165,Nubes de chocolate soft kiss Haribo bolsa 175 g,Haribo
297330,Galletas con chocolate Cuétara Campurrianas caja 417 g,Cuétara
293811,Cereales con chocolate Kit Kat caja 330 g,Kit Kat
304651,Galletas con chocolate blanco y toppings choco muerdos Cuétara Flakes bolsa 100 g,Cuétara
300973,Barrita de chocolate con crema de cacahuete Reeses's bolsa 42 g,Reeses's
307666,Galletas con chocolate energy Artiach Chiquilin caja 150 g,Artiach
294639,Galleta con tres chocolates El molino de Dia 76 g,El molino de Dia
299738,Galletas rellenas de chocolate y crema choco guay Cuétara Tostarica caja 144 g + 17% gratis,Cuétara
304667,Barritas proteicas de cacao y avellana Nakd caja 135 g,Nakd
300055,Mini barritas de chocolate con caramelo y cacahuetes Snickers bolsa 227 g,Snickers
309170,Muesli crujiente con cacao sin gluten Esgir bolsa 300 g,Esgir
308964,Cereales integrales con chocolate y vainilla mix Nesquik bolsa 225 g,Nesquik
294764,Galletas con pepitas de chocolate oceanix Cuétara Tostarica caja 400 g,Cuétara
292774,Tinte pelo permanente color chocolate N.º 5.93 Dia Imaqe caja 1 unidad,Dia Imaqe
301583,Barritas de brownie de chocolate Fibre one caja 96 g,Fibre one
303685,Preparado para tortitas al cacao con chocolate Dr. Oetker bolsa 210 g,Dr. Oetker
272207,Conejos de Pascua de chocolate Laica 70 g,Laica
303559,Galletas con pepitas de chocolate sin gluten Galleteca de Dia bolsa 100 g,Galleteca de Dia
26137,Barritas de galleta recubiertas de chocolate Kit Kat bolsa 3 x 41 g,Kit Kat
278710,Galletas de barquillo recubiertas de chocolate mini wafers Milka bolsa 110 g,Milka
306677,"Barrita de cereales con coco, cacao y anacardos protein Kellogg's Special K bolsa 35 g",Kellogg's
212331,Caramelos clásicos de toffee con chocolate Werther's bolsa 120 g,Werther's
30432,Mini barritas de galleta recubiertas de chocolate Kit Kat bolsa 200 g,Kit Kat
296122,Barrita de proteínas de coco y chocolate Just loading bolsa 27 g,Just loading
303179,"Cereales de trigo, avena y quinoa integral con cacao proteína Nestlé Fitness caja 310 g",Nestlé
310758,Galletas rellenas de Nutella 166 g,Nutella
306464,Cápsulas de café cocoa & hazelnut Dia Arom'arte 10 unidades,Dia Arom'arte
308472,Cápsulas de café choco cookies Dia Arom'arte 10 unidades,Dia Arom'arte
178,Azúcar blanco Azucarera paquete 1 Kg,Azucarera
161768,Regaliz rojo torcidas Dia Marcelo Caramelo bolsa 225 g,Dia Marcelo Caramelo
120826,Café molido mezcla Dia Cafetería 2 x 250 g,Dia Cafetería
218159,Café molido natural Dia Cafetería 2 x 250 g,Dia Cafetería
162404,Tronquitos sin pica relleno Dia Marcelo Caramelo bolsa 225 g,Dia Marcelo Caramelo
1527,Manzanilla Dia Tetería 25 unidades,Dia Tetería
267965,Chicles sabor hierbabuena sin azúcar Iceberg de Dia bolsa 44.8 g,Iceberg de Dia
267967,Chicles sabor menta fuerte sin azúcar Iceberg de Dia bolsa 44.8 g,Iceberg de Dia
306400,Golosinas surtidas mix brillo Dia Marcelo Caramelo bolsa 200 g,Dia Marcelo Caramelo
161765,Tronquitos pica relleno Dia Marcelo Caramelo bolsa 225 g,Dia Marcelo Caramelo
133109,Miel de flores antigoteo Mielove de Dia frasco 500 g,Mielove de Dia
161772,Regaliz negro torcidas Dia Marcelo Caramelo bolsa 225 g,Dia Marcelo Caramelo
306401,Golosinas surtidas mix pica Dia Marcelo Caramelo bolsa 200 g,Dia Marcelo Caramelo
174430,Caramelos sabor menta extra fuerte Halls bolsa 2 x 32 g,Halls
295423,Infusión de jengibre con limón Dia Tetería 25 unidades,Dia Tetería
267968,Chicles sabor sandí­a sin azúcar Iceberg de Dia bolsa 44.8 g,Iceberg de Dia
306387,Golosinas gusanos pica Dia Marcelo Caramelo bolsa 100 g,Dia Marcelo Caramelo
34769,Nubes Dia Marcelo Caramelo bolsa 200 g,Dia Marcelo Caramelo
302911,Surtido de pralinés Dia Temptation bolsa 320 g,Dia Temptation
297,Miel de flores Mielove de Dia frasco 1 Kg,Mielove de Dia
295421,Poleo menta Dia Tetería 25 unidades,Dia Tetería
44899,Caramelo con palo varios sabores Chupa Chups 1 unidad,Chupa Chups
188690,Golosinas ositos de oro Haribo bolsa 150 g,Haribo
295467,Tila Dia Tetería 25 unidades,Dia Tetería
177847,Manzanilla con anís Dia Tetería 40 unidades,Dia Tetería
306389,Golosinas pulpos pica Dia Marcelo Caramelo bolsa 100 g,Dia Marcelo Caramelo
306397,Regaliz rueda rojo Dia Marcelo Caramelo bolsa 225 g,Dia Marcelo Caramelo
273821,Cápsulas de café intenso Dia Arom'arte 20 unidades,Dia Arom'arte
271523,Crema de cacahuete Just loading frasco 500 g,Just loading
222326,Golosinas cintas pica Dia Marcelo Caramelo tarrina 290 g,Dia Marcelo Caramelo
295425,Té verde Dia Tetería 25 unidades,Dia Tetería
306396,Golosinas moras Dia Marcelo Caramelo bolsa 200 g,Dia Marcelo Caramelo
273828,Cápsulas de café de Colombia Colombia Dia Arom'arte 10 unidades,Dia Arom'arte
271743,Chicles de hierbabuena sin azúcar Iceberg de Dia bote 70 unidades,Iceberg de Dia
267966,Chicles sabor fresa sin azúcar Iceberg de Dia bolsa 44.8 g,Iceberg de Dia
306394,Golosinas fresas Dia Marcelo Caramelo bolsa 200 g,Dia Marcelo Caramelo
210824,Golosinas mega-roulette Haribo bolsa 45 g,Haribo
230582,Regaliz de goma torcidas rellenas Fini bolsa 125 g,Fini
306390,Golosinas surtidas mix azúcar Dia Marcelo Caramelo bolsa 200 g,Dia Marcelo Caramelo
118248,Caramelos de peppermint sin azúcar Smint lata 35 g,Smint
110225,Infusión dormir Dia Tetería 25 unidades,Dia Tetería
273825,Cápsulas de café descafeinado Dia Arom'arte 20 unidades,Dia Arom'arte
231,Café soluble clásico Dia Cafetería 100 g,Dia Cafetería
