id,id_api,nombre_comercial,precio,precio_unidad,marca,url,imagen,disponible
DI-3178,301168,Espaguetis al huevo Dia Al Diante 500 g,1.4,2.80€/kg,Dia Al Diante,https://www.dia.es/arroz-pastas-y-legumbres/macarrones-espaguetis-y-pastas-secas/p/301168,https://www.dia.es/product_images/301168/301168_ISO_0_ES.jpg,True
DI-1272,207884,Galletas huevos de cereales con chocolate Artiach Dinosaurus caja 140 g,2.29,16.36€/kg,Artiach,https://www.dia.es/galletas-bollos-y-cereales/galletas/p/207884,https://www.dia.es/product_images/207884/207884_ISO_0_ES.jpg,True
DI-3152,300935,Huevo de chocolate con smarties Nestlé Extrafino 40 g,1.27,31.69€/kg,Nestlé,https://www.dia.es/azucar-chocolates-y-caramelos/chocolates-y-bombones/p/300935,https://www.dia.es/product_images/300935/300935_ISO_0_ES.jpg,True
DI-2766,293276,Figuras de conejo y huevos de Pascua Cosmo 90 g,1.34,14.92€/kg,Cosmo,https://www.dia.es/azucar-chocolates-y-caramelos/chocolates-y-bombones/p/293276,https://www.dia.es/product_images/293276/293276_ISO_0_ES.jpg,True
DI-4447,5543,Bizcochos con huevo Galleteca de Dia bolsa 400 g,1.75,4.38€/kg,Galleteca de Dia,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/5543,https://www.dia.es/product_images/5543/5543_ISO_0_ES.jpg,True
DI-0006,100308,Espaguetis al huevo Gallo 450 g,1.75,3.89€/kg,Gallo,https://www.dia.es/arroz-pastas-y-legumbres/macarrones-espaguetis-y-pastas-secas/p/100308,https://www.dia.es/product_images/100308/100308_ISO_0_ES.jpg,True
DI-4161,37008,Huevo de chocolate con sorpresa Kinder 20 g,1.49,74.50€/kg,Kinder,https://www.dia.es/azucar-chocolates-y-caramelos/chocolates-y-bombones/p/37008,https://www.dia.es/product_images/37008/37008_ISO_0_ES.jpg,True
DI-0407,132928,Huevos de chocolate relleno de leche y avellanas Kinder bolsa 125 g,3.29,26.32€/kg,Kinder,https://www.dia.es/azucar-chocolates-y-caramelos/chocolates-y-bombones/p/132928,https://www.dia.es/product_images/132928/132928_ISO_0_ES.jpg,True
DI-4219,41749,Huevos de chocolate relleno de leche y avellanas Kinder bolsa 200 g,4.49,22.45€/kg,Kinder,https://www.dia.es/azucar-chocolates-y-caramelos/chocolates-y-bombones/p/41749,https://www.dia.es/product_images/41749/41749_ISO_0_ES.jpg,True
DI-5038,187580,Macarrones al huevo Gallo 450 g,1.75,3.50€/kg,Gallo,https://www.dia.es/arroz-pastas-y-legumbres/macarrones-espaguetis-y-pastas-secas/p/187580,https://www.dia.es/product_images/187580/187580_ISO_0_ES.jpg,True
DI-5039,310736,"Ensalada de pasta, atún y huevo Dia Al Punto 300 g",2.99,9.97€/kg,Dia Al Punto,https://www.dia.es/verduras/ensaladas-y-verduras-preparadas/p/310736,https://www.dia.es/product_images/310736/310736_ISO_0_ES.jpg,True
DI-4049,310306,Piruleta marshmallow Pascua Menudos Duendes 30 g,0.97,32.25€/kg,Menudos duendes,https://www.dia.es/azucar-chocolates-y-caramelos/chocolates-y-bombones/p/310306,https://www.dia.es/product_images/310306/310306_ISO_0_ES.jpg,True
DI-4450,55575,Margarina vitaminada Diasol 500 g,1.5,3.00€/kg,Diasol,https://www.dia.es/huevos-leche-y-mantequilla/mantequilla-y-margarina/p/55575,https://www.dia.es/product_images/55575/55575_ISO_0_ES.jpg,True
DI-4747,8545,Mantequilla ligera fácil de untar President 250 g,2.95,11.80€/kg,President,https://www.dia.es/huevos-leche-y-mantequilla/mantequilla-y-margarina/p/8545,https://www.dia.es/product_images/8545/8545_ISO_0_ES.jpg,True
DI-4449,55574,Margarina ligera Diasol 500 g,1.45,2.90€/kg,Diasol,https://www.dia.es/huevos-leche-y-mantequilla/mantequilla-y-margarina/p/55574,https://www.dia.es/product_images/55574/55574_ISO_0_ES.jpg,True
DI-4475,56937,Nata para cocinar Central Lechera Asturiana 500 ml,2.85,5.70€/L,Central Lechera Asturiana,https://www.dia.es/huevos-leche-y-mantequilla/nata/p/56937,https://www.dia.es/product_images/56937/56937_ISO_0_ES.jpg,True
DI-4417,53765,Nata para montar Central Lechera Asturiana 500 ml,2.85,5.70€/L,Central Lechera Asturiana,https://www.dia.es/huevos-leche-y-mantequilla/nata/p/53765,https://www.dia.es/product_images/53765/53765_ISO_0_ES.jpg,True
DI-4474,5691,Nata montada Central Lechera Asturiana 250 g,2.79,11.16€/kg,Central Lechera Asturiana,https://www.dia.es/huevos-leche-y-mantequilla/nata/p/5691,https://www.dia.es/product_images/5691/5691_ISO_0_ES.jpg,True
DI-0965,182582,Pechuguitas de pollo asado 99% La Carloteña 100 g,2.09,20.90€/kg,La Carloteña,https://www.dia.es/charcuteria-y-quesos/jamon-cocido-pavo-y-pollo/p/182582,https://www.dia.es/product_images/182582/182582_ISO_0_ES.jpg,True
DI-1428,222880,"Relleno para fajitas con pollo, pimientos y cebolla Dia Al Punto 300 g",1.95,6.50€/kg,Dia Al Punto,https://www.dia.es/platos-preparados-y-pizzas/comida-mexicana/p/222880,https://www.dia.es/product_images/222880/222880_ISO_0_ES.jpg,True
DI-2147,273737,Jamón cocido extra 97% Dia Nuestra Alacena 150 g,1.99,13.27€/kg,Dia Nuestra Alacena,https://www.dia.es/charcuteria-y-quesos/jamon-cocido-pavo-y-pollo/p/273737,https://www.dia.es/product_images/273737/273737_ISO_0_ES.jpg,True
DI-3380,303613,Jamón de pavo finas lonchas Dia Nuestra Alacena 180 g,1.52,8.44€/kg,Dia Nuestra Alacena,https://www.dia.es/charcuteria-y-quesos/jamon-cocido-pavo-y-pollo/p/303613,https://www.dia.es/product_images/303613/303613_ISO_0_ES.jpg,True
