id_api,nombre_comercial,precio,precio_unidad,marca,url,categoria_ahorramas
,Regañas Horno el Antequerano 150g aceite de oliva virgen extra,1.88,"(12,53€/KILO)",,https://www.ahorramas.com/reganas-horno-el-antequerano-150g-aceite-de-oliva-virgen-extra-70246.html,alimentacion
,Picatostes fritos Alipende pack 2 150gr,1.21,"(8,07€/KILO)",,https://www.ahorramas.com/picatostes-fritos-alipende-pack-2-150gr-38178.html,alimentacion
,Masa para empanadillas oblea estilo Argentino Buitoni 350g,2.4,"(6,86€/KILO)",,https://www.ahorramas.com/masa-para-empanadillas-oblea-estilo-argentino-buitoni-350g-77774.html,alimentacion
,Snacks de pan Bruscheta tomate y mozzarella 70g,0.85,"(12,14€/KILO)|(13,57€/KILO)",,https://www.ahorramas.com/snacks-de-pan-bruscheta-tomate-y-mozzarella-70g-63404.html,alimentacion
,Cereales integrales de chocolate Chocapic 375g,3.39,"(9,04€/KILO)",,https://www.ahorramas.com/cereales-integrales-de-chocolate-chocapic-375g-73473.html,alimentacion
,Pasas sultanas sin pepitas Alipende 250g,1.8,"(7,20€/KILO)",,https://www.ahorramas.com/pasas-sultanas-sin-pepitas-alipende-250g-64866.html,alimentacion
,Masa de empanadilla La Napolitana 420g,2.33,"(5,55€/KILO)",,https://www.ahorramas.com/masa-de-empanadilla-la-napolitana-420g-63994.html,alimentacion
,Garbanzo Alipende 1kg lechoso,2.5,"(2,50€/KILO)",,https://www.ahorramas.com/garbanzo-alipende-1kg-lechoso-77270.html,alimentacion
,Tomate seco en aceite Leyenda 110g,2.3,"(20,91€/KG.PESO ESC)",,https://www.ahorramas.com/tomate-seco-en-aceite-leyenda-110g-46972.html,alimentacion
,Barritas de cereales con chocolate blanco Alipende 138g,1.55,"(11,23€/KILO)",,https://www.ahorramas.com/barritas-de-cereales-con-chocolate-blanco-alipende-138g-37621.html,alimentacion
,Caña Baño Cacaco Dulcesol 3ud 153g,1.0,"(6,54€/KILO)",,https://www.ahorramas.com/cana-bano-cacaco-dulcesol-3ud-153g-86838.html,alimentacion
,Colines Alipende 250g,0.7,"(2,80€/KILO)",,https://www.ahorramas.com/colines-alipende-250g-56019.html,alimentacion
,Cereales rellenos de leche Alipende 500g,2.4,"(4,80€/KILO)",,https://www.ahorramas.com/cereales-rellenos-de-leche-alipende-500g-48336.html,alimentacion
,Bagels Bimbo clásico para dulce y salado 4 uds,2.49,"(8,30€/KILO)",,https://www.ahorramas.com/bagels-bimbo-clasico-para-dulce-y-salado-4-uds-42671.html,alimentacion
,Chocolate negro 70% cacao sin azúcar añadido Valor 100g,2.99,"(29,90€/KILO)",,https://www.ahorramas.com/chocolate-negro-70-cacao-sin-azucar-anadido-valor-100g-59933.html,alimentacion
